State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Gujarat,24,Junagadh,Junagadh_12,12,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),7.6,0
Gujarat,24,Junagadh,Junagadh_12,12,Characteristics of Women,Women who are literate (%),82.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Characteristics of Women,Women with 10 or more years of schooling (%),35,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),5.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),4.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),7.1,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),37.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),26.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),17.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),32.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),5.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),93.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),93.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),93.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),95,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),95.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),96.9,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),36.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.9,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,Any method (%),48,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,Any modern method (%),42.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,Condom (%),11.1,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,Female sterilization (%),25.9,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,Injectables (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,IUD/PPIUD (%),2.9,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,Male sterilization (%),0.1,0
Gujarat,24,Junagadh,Junagadh_12,12,Current Use of Family Planning Methods,Pill (%),2,0
Gujarat,24,Junagadh,Junagadh_12,12,Delivery Care,Births attended by skilled health personnel (%),97.7,0
Gujarat,24,Junagadh,Junagadh_12,12,Delivery Care,Births delivered by caesarean section (%),23,0
Gujarat,24,Junagadh,Junagadh_12,12,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),33.9,0
Gujarat,24,Junagadh,Junagadh_12,12,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),17.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Delivery Care,Home births that were conducted by skilled health personnel (%),0.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Delivery Care,Institutional births (%),97.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Delivery Care,Institutional births in public facility (%),60.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),20.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.6,0
Gujarat,24,Junagadh,Junagadh_12,12,Hypertension among men,Male Moderately or severely elevated blood pressure (%),3.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),23.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7,0
Gujarat,24,Junagadh,Junagadh_12,12,Hypertension among women,Female Moderately or severely elevated blood pressure (%),5.6,0
Gujarat,24,Junagadh,Junagadh_12,12,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),1.6,0
Gujarat,24,Junagadh,Junagadh_12,12,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5,0
Gujarat,24,Junagadh,Junagadh_12,12,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Marriage and Fertility,Women age 2024 years married before age 18 years (%),11.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs),1272,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),39.6,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),82,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),72.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.1,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus (%),88.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100,0
Gujarat,24,Junagadh,Junagadh_12,12,Nutritional Status of Women,Women who are overweight or obese,33.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Nutritional Status of Women,Women who have high risk waisttohip ratio,37.7,0
Gujarat,24,Junagadh,Junagadh_12,12,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18),18.7,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 2019-20 (%),5.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),97.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),94.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Female population age 6 years and above who ever attended school (%),73.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Households using clean fuel for cooking (%),67.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Households using iodized salt (%),97.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),47.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Population below age 15 years (%),21.6,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Population living in households that use an improved sanitation facility (%),81.7,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Population living in households with an improved drinkingwater source (%),97,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,Population living in households with electricity (%),99.3,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",876,0
Gujarat,24,Junagadh,Junagadh_12,12,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",999,0
Gujarat,24,Junagadh,Junagadh_12,12,Quality of Family Planning Services,Current users ever told about side effects of current method (%),69,0
Gujarat,24,Junagadh,Junagadh_12,12,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),26.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Screening for Cancer among Women,Ever undergone a breast examination for breast cancer (%),0.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Screening for Cancer among Women,Ever undergone a screening test for cervical cancer (%),0.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Screening for Cancer among Women,Ever undergone an oral cavity examination for oral cancer (%),0.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who consume alcohol (%),2.9,0
Gujarat,24,Junagadh,Junagadh_12,12,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who use any kind of tobacco (%),54.4,0
Gujarat,24,Junagadh,Junagadh_12,12,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who consume alcohol (%),0.2,0
Gujarat,24,Junagadh,Junagadh_12,12,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who use any kind of tobacco (%),13.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Treatment of Childhood Diseases,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.9,0
Gujarat,24,Junagadh,Junagadh_12,12,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Gujarat,24,Junagadh,Junagadh_12,12,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.5,0
Gujarat,24,Junagadh,Junagadh_12,12,Unmet Need for Family Planning,Total unmet need (%),13.8,0
Gujarat,24,Junagadh,Junagadh_12,12,Unmet Need for Family Planning,Unmet need for spacing (%),4,0
Gujarat,24,Kachchh,Kachchh_1,1,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),62.6,69.3
Gujarat,24,Kachchh,Kachchh_1,1,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),57.5,62.5
Gujarat,24,Kachchh,Kachchh_1,1,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,68.6,81.4
Gujarat,24,Kachchh,Kachchh_1,1,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,58,63
Gujarat,24,Kachchh,Kachchh_1,1,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,43.1,49.8
Gujarat,24,Kachchh,Kachchh_1,1,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.4,0
Gujarat,24,Kachchh,Kachchh_1,1,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),5.7,0
Gujarat,24,Kachchh,Kachchh_1,1,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),6.9,0
Gujarat,24,Kachchh,Kachchh_1,1,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),6.7,0
Gujarat,24,Kachchh,Kachchh_1,1,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.9,0
Gujarat,24,Kachchh,Kachchh_1,1,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),5.5,0
Gujarat,24,Kachchh,Kachchh_1,1,Characteristics of Women,Women who are literate (%),75.6,0
Gujarat,24,Kachchh,Kachchh_1,1,Characteristics of Women,Women with 10 or more years of schooling (%),24.1,16.9
Gujarat,24,Kachchh,Kachchh_1,1,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),5.5,4.3
Gujarat,24,Kachchh,Kachchh_1,1,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Gujarat,24,Kachchh,Kachchh_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),2.6,1.6
